x          ,y          ,raio
32.15970301,40.94745207,1.0
32.32002744,67.59990236,1.0
23.26875921,66.2102774 ,1.0
78.51898979,39.04348568,1.0
33.34616074,58.49093297,1.0
48.41058647,78.80681856,1.0
82.5097938 ,51.22282977,1.0
24.4518014 ,12.40632075,1.0
32.0375546 ,74.28865574,1.0
80.08833662,68.23590114,1.0
80.6609284 ,76.14406477,1.0
16.88081664,35.12549821,1.0
23.6217952 ,27.05775101,1.0
46.66611209,47.27196151,1.0
67.12806624,14.12115356,1.0
49.21260542,31.23047732,1.0
15.32958169,23.24650096,1.0
54.34027001,83.48465845,1.0
33.19646952,10.9422526 ,1.0
69.37734623,12.02683755,1.0
71.34426615,21.30672245,1.0
27.03034515,69.5364844 ,1.0
80.34465504,27.58788296,1.0
38.08965279,80.06752663,1.0
41.85135598,26.01333569,1.0
16.39229293,40.41778403,1.0
44.37947491,80.33434726,1.0
79.62327513,72.39695989,1.0
83.38176205,81.09250027,1.0
